 1 	articles exist deal tss time sharing system operating system ibm computers
 2 	am interested articles written by prieve udo pooch prieve pooch
 3 	intermediate languages in construction multi-targeted compilers tcoll
 4 	m interested mechanisms communicating disjoint processes possibly not exclusively a distributed environment would see descriptions complete mechanisms or implementations opposed theoretical work the abstract problem remote procedure calls message-passing examples my interests
 5 	d papers design implementation editing interfaces window-managers command interpreters the essential issues human interface design views improvements user efficiency effectiveness satisfaction
 6 	interested articles robotics motion planning the geometric combinatorial aspects are interested the dynamics arm motion
 7 	am interested distributed algorithms - concurrent programs which processes communicate synchronize using message passing areas particular interest include fault-tolerance techniques understanding correctness these algorithms
 8 	addressing schemes resources networks resource addressing network operating systems
 9 	security considerations local networks network operating systems distributed systems
 10 	parallel languages languages parallel computation
 11 	setl high level languages
 12 	portable operating systems
 13 	code optimization space efficiency
 14 	find discussions optimal implementations sort algorithms database management applications
 15 	find discussions horizontal microcode optimization special emphasis optimization loops global optimization
 16 	find descriptions file handling operating systems based multiple processes message passing
 17 	optimization intermediate machine code
 18 	languages compilers parallel processors especially highly horizontal microcoded machines code compaction
 19 	parallel algorithms
 20 	graph theoretic algorithms applicable sparse matrices
 21 	computational complexity intractability class-complete reductions algorithms efficiency
 22 	am interested hidden-line hidden-surface algorithms cylinders toroids spheres cones is rather specialized topic computer graphics
 23 	distributed computing structures algorithms
 24 	applied stochastic processes
 25 	performance evaluation modelling computer systems
 26 	concurrency control mechanisms operating systems
 27 	memory management aspects operating systems
 28 	information packet radio networks particular interest algorithms packet routing for dealing changes network topography am interested hardware in the network
 29 	number-theoretic algorithms especially involving prime number series sieves chinese remainder theorem
 30 	articles text formatting systems including you is you systems examples nroff scribe bravo
 31 	d find articles describing use singular decomposition digital image processing applications include finding approximations the original image restoring images are subject to noise article the subject andrews patterson outer product expansions their in digital image processing american mathematical andrews h patterson c
 32 	d to find articles describing graph algorithms are based the eigenvalue decomposition singular decomposition the ajacency matrix the graph m especially interested any heuristic algorithms graph coloring graph isomorphism this method
 33 	articles sensitivity the eigenvalue decomposition real matrices particular zero-one matrices m especially interested the separation eigenspaces to distinct eigenvalues articles the subject davis kahn the rotation eigenvectors a permutation siam numerical analysis vol 7 1 1970 stewart error bounds approximate invariant subspaces closed linear operators siam numerical analysis vol 8 4 1971 davis kahn w stewart
 34 	interested isolation root polynomial is old recent material heindel
 35 	probabilistic algorithms especially dealing algebraic symbolic manipulation examples rabiin probabilistic algorithm finite field siam waztch probabilistic testing polynomial identities siam rabin
 36 	fast algorithm context-free language recognition parsing
 37 	articles describing relationship data types concurrency g type process is a synchronization attempt two processes type correct a message-passing system is there notion types messages --i any to check the sender the message the receiver both treating the bit stream some type
 38 	is type a module don want entire literature abstract data types but sure to phrase to avoid i m interested questions how can check a module matches contexts which is
 39 	does type compatibility mean languages allow programmer defined types might want restrict to extensible languages allow definition abstract data types programmer-supplied definitions operators
 40 	list articles dealing data types the languages are referenced frequently papers the languages g catch languages interesting type structures i have missed
 41 	theory distributed systems databases subtopics special interest include reliability fault-tolerance distributed systems atomicity distributed transactions synchronization algorithms resource allocation lower bounds models asynchronous parallel systems theory communicating processes protocols box 2158 yale station haven conn 06520
 42 	computer performance evaluation techniques pattern recognition clustering la 70803
 43 	analysis perception shape humans computers shape descriptions shape recognition computer two-dimensional shapes measures circularity shape matching
 44 	texture analysis computer digitized texture analysis texture synthesis perception texture
 45 	use operations research models optimize information system performance includes fine tuning decisions as secondary index selection reorganization distributed databases
 46 	application fuzzy subset theory clustering information retrieval problems includes performance evaluation automatic indexing considerations
 47 	use bayesian decision models optimize information retrieval system performance includes stopping rules determine a user cease scanning output a retrieval search
 48 	use computer science principles g data structures numerical methods generating optimization g linear programming algorithms includes issues the khachian russian ellipsoidal algorithm complexity such algorithms
 49 	role information retrieval knowledge based systems e expert systems
 50 	parallel processors information retrieval
 51 	parallel processors paging algorithms
 52 	modelling simulation agricultural ecosystems
 53 	mathematical induction group theory integers modulo probability binomial coefficients binomial theorem homomorphism morphism transitivity relations relation matrix syracuse university 313 link hall syracuse 13210
 54 	semantics programming languages including abstract specifications data types denotational semantics proofs correctness hoare dijkstra university massachusetts amherst ma 01003
 55 	dealing star height regular languages regular expressions regular events
 56 	articles relation algebraic theory semigroups monoids the study automata regular languages
 57 	abstracts articles backus programming liberated the von neumann style functional style its algebra programs cacm 21 re millo lipton perlis letter acm forum cacm 22 1979 629-630 backus de millo lipton perlis
 58 	algorithms statistical packages anova regression least squares generalized linear models system design capabilities statistical formula of interest student t test wilcoxon sign tests multivariate univariate components be included
 59 	dictionary construction accessing methods fast retrieval words lexical items morphologically related information hashing indexing methods usually applied english spelling natural language problems
 60 	hardware software relating database management systems database packages back end computers special associative hardware microcomputers attached disk heads things rap relational network codasyl hierarchical models systems system ims adabas total
 61 	information retrieval articles gerard salton others clustering bibliographic coupling of citations co-citations vector space model boolean search methods inverted feedback salton
 62 	results relating parallel complexity theory for pram and uniform circuits
 63 	algorithms parallel computation especially comparisons parallel sequential algorithms
 64 	list articles el1 ecl el1 be as el 1 don remember they it
